"","treeID","tree_height_m","tree_x","tree_y","crown_area_m2","tree_cbh_m","is_training_cbh","Date","Plot","Start_Time","End_Time","X","Y","U","stdeast","stdnorth","stdu","RMSE","RMSN","RMSU","Method","notes","BUFF_DIST","ORIG_FID","Shape_Leng","Shape_Area"
"365","13409_400129.5_4033161.5",18.7199993133545,400129.5,4033161.5,84,8.5,TRUE,817,109,"9:50","10:29",36.438452642,-106.114447421,2498.0174,1.1787,0.591,1.5494,1.1787,0.5909,1.5493,"static",NA,11.3,106,0.000716954925308,0.0000000401141249814
"366","13498_400100.5_4033159.5",16.0799999237061,400100.5,4033159.5,43,2.5,TRUE,817,109,"9:50","10:29",36.438452642,-106.114447421,2498.0174,1.1787,0.591,1.5494,1.1787,0.5909,1.5493,"static",NA,11.3,106,0.000716954925308,0.0000000401141249814
"367","13499_400120.5_4033159.5",21.1100006103516,400120.5,4033159.5,57,4.5,TRUE,817,109,"9:50","10:29",36.438452642,-106.114447421,2498.0174,1.1787,0.591,1.5494,1.1787,0.5909,1.5493,"static",NA,11.3,106,0.000716954925308,0.0000000401141249814
"368","13567_400105.5_4033157.5",5.86999988555908,400105.5,4033157.5,13,3.5,TRUE,817,109,"9:50","10:29",36.438452642,-106.114447421,2498.0174,1.1787,0.591,1.5494,1.1787,0.5909,1.5493,"static",NA,11.3,106,0.000716954925308,0.0000000401141249814
"369","13568_400124.5_4033157.5",17.6100006103516,400124.5,4033157.5,42,7.5,TRUE,817,109,"9:50","10:29",36.438452642,-106.114447421,2498.0174,1.1787,0.591,1.5494,1.1787,0.5909,1.5493,"static",NA,11.3,106,0.000716954925308,0.0000000401141249814
"370","13688_400120.5_4033154.5",19.5699996948242,400120.5,4033154.5,51,4.5,TRUE,817,109,"9:50","10:29",36.438452642,-106.114447421,2498.0174,1.1787,0.591,1.5494,1.1787,0.5909,1.5493,"static",NA,11.3,106,0.000716954925308,0.0000000401141249814
"371","13799_400109.5_4033151.5",20.1800003051758,400109.5,4033151.5,77,3.5,TRUE,817,109,"9:50","10:29",36.438452642,-106.114447421,2498.0174,1.1787,0.591,1.5494,1.1787,0.5909,1.5493,"static",NA,11.3,106,0.000716954925308,0.0000000401141249814
"372","13911_400119.5_4033148.5",18.7999992370605,400119.5,4033148.5,52,2.5,TRUE,817,109,"9:50","10:29",36.438452642,-106.114447421,2498.0174,1.1787,0.591,1.5494,1.1787,0.5909,1.5493,"static",NA,11.3,106,0.000716954925308,0.0000000401141249814
"373","14085_400118.5_4033144.5",19.0599994659424,400118.5,4033144.5,45,3.5,TRUE,817,109,"9:50","10:29",36.438452642,-106.114447421,2498.0174,1.1787,0.591,1.5494,1.1787,0.5909,1.5493,"static",NA,11.3,106,0.000716954925308,0.0000000401141249814
"374","14117_400111.5_4033143.5",19.6100006103516,400111.5,4033143.5,56,3.5,TRUE,817,109,"9:50","10:29",36.438452642,-106.114447421,2498.0174,1.1787,0.591,1.5494,1.1787,0.5909,1.5493,"static",NA,11.3,106,0.000716954925308,0.0000000401141249814
"375","29262_399364.5_4034189.5",17.9300003051758,399364.5,4034189.5,52,2.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"376","29339_399351.5_4034187.5",14.7600002288818,399351.5,4034187.5,39,4.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"377","29408_399359.5_4034185.5",16.6700000762939,399359.5,4034185.5,45,3.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"378","29448_399350.5_4034184.5",13.2799997329712,399350.5,4034184.5,27,6.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"379","29523_399352.5_4034182.5",12.3599996566772,399352.5,4034182.5,26,4.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"380","29524_399370.5_4034182.5",19.5599994659424,399370.5,4034182.5,50,1.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"381","29564_399364.5_4034181.5",10.5799999237061,399364.5,4034181.5,17,5.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"382","29614_399364.5_4034179.5",8.83212089538574,399364.5,4034179.5,7,5.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
